file,project,version,loc,lloc,sloc,comments,multi,blank,cyclo,wmc,η1,η2,N1,N2,η,N,N_hat,V,D,E,T,B,cbo,lcom,DIT,rfc,ComplexMethod
tests\contenttypes_tests\test_fields.py,django-2.2,2.2,35.0,25.0,25.0,0.0,0.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,8.0,0
tests\contenttypes_tests\test_management.py,django-2.2,2.2,73.0,55.0,50.0,3.0,8.0,10.0,8.0,8.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.755,0.5,2.377,0.132,0.001585,10.0,1.0,1.0,15.0,0
tests\contenttypes_tests\test_models.py,django-2.2,2.2,226.0,128.0,153.0,12.0,26.0,35.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,28.0,0
tests\contenttypes_tests\test_operations.py,django-2.2,2.2,66.0,50.0,58.0,0.0,0.0,8.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,16.0,0
tests\contenttypes_tests\test_order_with_respect_to.py,django-2.2,2.2,11.0,7.0,7.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0
tests\contenttypes_tests\test_views.py,django-2.2,2.2,208.0,132.0,141.0,10.0,24.0,31.0,28.0,28.0,2.0,32.0,17.0,34.0,34.0,51.0,162.0,259.461,1.062,275.677,15.315,0.086487,27.0,3.0,1.0,20.0,0
tests\contenttypes_tests\urls.py,django-2.2,2.2,6.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\contenttypes_tests\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\context_processors\models.py,django-2.2,2.2,5.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
tests\context_processors\tests.py,django-2.2,2.2,92.0,47.0,60.0,7.0,17.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,5.0,0
tests\context_processors\urls.py,django-2.2,2.2,8.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\context_processors\views.py,django-2.2,2.2,15.0,8.0,10.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\context_processors\__init__.py,django-2.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\csrf_tests\csrf_token_error_handler_urls.py,django-2.2,2.2,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
tests\csrf_tests\tests.py,django-2.2,2.2,787.0,508.0,508.0,23.0,161.0,93.0,76.0,76.0,5.0,20.0,11.0,22.0,25.0,33.0,98.048,153.247,2.75,421.43,23.413,0.051082,45.0,5.0,1.0,56.0,0
